dam_id,dam_name,capacity_mcm,c,b,source
id_070038,Ru'am,1.5,0.0047193023401207535,1.5558517322403753,regi_multi
id_070039,Al-Ghilan,0.15,0.006079646476591703,1.5558517322403753,regi_multi
id_070040,Rimah,0.23,0.009748849038305495,1.5558517322403753,regi_multi
id_070041,Tulihah Al-Sharaf,0.35565,0.0019922668270960617,1.5558517322403753,regi_multi
id_070042,Al-Hadilah,0.16,0.006336453869941327,1.5558517322403753,regi_multi
id_070043,Wasanib,0.182,0.016741253956854555,1.5558517322403753,regi_multi
id_070044,Radah,0.192,0.018294636105027923,1.5558517322403753,regi_multi
id_070045,Bashut,0.2,9.63456520483246e-05,2.0,srtm_derived
id_070046,Al-Faqa'is,0.1027,0.010338205675377089,1.5558517322403753,regi_multi
id_070047,Al 'Ifah,0.0747,0.011543145360975574,1.5558517322403753,regi_multi
id_070048,Al-Khulsah,0.138,0.010217713262157863,1.5558517322403753,regi_multi
id_070049,Al-Qabdah,0.26,0.00624735745248247,1.5558517322403753,regi_multi
id_070050,Shari,0.275247,0.0032228521460352234,1.5408741676428965,srtm_derived
id_070051,Al-Harajah,0.28,0.008117795865691852,1.5558517322403753,regi_multi
id_070052,Ghadar,0.3,0.07856446302694046,1.3020953727197218,srtm_derived
id_070053,Al-'Ayinah,0.3,0.005224063842288343,1.5558517322403753,regi_multi
id_070054,Sadwan,0.264,0.03894987093701378,1.4313823176388374,srtm_derived
id_070055,As-Samkhiyah,0.090375,0.005925458453969172,1.5558517322403753,regi_multi
id_070056,Al-Maraghah,0.3,0.6636592961332655,1.108286811273267,srtm_derived
id_070057,Al-Akhdar Al-Musfir,0.33261,0.007173111960539711,1.5558517322403753,regi_multi
id_070058,Hijrat Zahir,0.35,5.1778065276005593e-05,2.0,srtm_derived
id_070059,Al-Nahrah,0.35,0.008469896424025852,1.5558517322403753,regi_multi
id_070060,Rawdan,0.35716,0.004266134603599381,1.5558517322403753,regi_multi
id_070061,Surum,0.39,0.00929928347200493,1.5558517322403753,regi_multi
id_070063,Al-'Adiyah,0.48,0.006779677313303671,1.5558517322403753,regi_multi
id_070064,Al-Hufah,0.5,0.00798499728698877,1.5558517322403753,regi_multi
id_070065,Ar-Rashid,0.5,0.007982718077791585,1.5418873545725849,srtm_derived
id_070066,Al Thabit (Al-Khir),0.5,0.005016694512240775,1.5558517322403753,regi_multi
id_070067,Al-Hajlah,0.342926,0.0076209495308469455,1.5224536969273805,srtm_derived
id_070068,Jabal Khat,0.5,0.007036876464430634,1.5558517322403753,regi_multi
id_070069,Jariyah Al-Majardah,0.6,0.007139006268676166,1.5680689339273148,srtm_derived
